dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
4,5000,[40|40|40|40|40],effn_w5_d320,777,val,0.4606085727777742,0.12008400805087
4,5000,[40|40|40|40|40],effn_w5_d320,777,test,0.48088069689189544,0.11776230212514
4,5000,[40|40|40|40|40],effn_w5_d320,777,train,0.364604952051356,0.10596653422566372
1,1000,[80|80|80|80|80],effn_w5_d320,777,val,0.1510393311008005,0.23137946561130002
1,1000,[80|80|80|80|80],effn_w5_d320,777,test,0.12012088984223601,0.228090503071
1,1000,[80|80|80|80|80],effn_w5_d320,777,train,0.13981055116719027,0.21125444561857146
8,1000,[160|160|160|160|160],effn_w5_d320,777,val,2.9295890719291755,0.23425999657350002
8,1000,[160|160|160|160|160],effn_w5_d320,777,test,3.0092921010344,0.23699127042299992
8,1000,[160|160|160|160|160],effn_w5_d320,777,train,2.78021305260632,0.22855159882964285
7,5000,[40|40|40|40|40],effn_w5_d320,777,val,1.06029460593601,0.14010989878920999
7,5000,[40|40|40|40|40],effn_w5_d320,777,test,0.8775314725384371,0.1302020278382
7,5000,[40|40|40|40|40],effn_w5_d320,777,train,0.5542939608696262,0.10421272871955371
12,5000,[80|80|80|80|80],effn_w5_d320,777,val,2.1898529492907253,0.17788742312699998
12,5000,[80|80|80|80|80],effn_w5_d320,777,test,2.2853963119012595,0.18647463372478001
12,5000,[80|80|80|80|80],effn_w5_d320,777,train,1.4114496765688314,0.14422265024775713
7,1000,[40|40|40|40|40],effn_w5_d320,777,val,3.4483764890759994,0.26584282122799996
7,1000,[40|40|40|40|40],effn_w5_d320,777,test,3.0815441669843993,0.256023069192
7,1000,[40|40|40|40|40],effn_w5_d320,777,train,2.9780299951274714,0.24022549514799996
13,1000,[80|80|80|80|80],effn_w5_d320,777,val,3.554032244004,0.22203966407099998
13,1000,[80|80|80|80|80],effn_w5_d320,777,test,3.0340021112058353,0.20039870831292997
13,1000,[80|80|80|80|80],effn_w5_d320,777,train,2.8962127565055797,0.20171572320130005
16,5000,[80|80|80|80|80],effn_w5_d320,777,val,2.6768383538291283,0.18237106988057003
16,5000,[80|80|80|80|80],effn_w5_d320,777,test,2.5716678318148243,0.178891336176
16,5000,[80|80|80|80|80],effn_w5_d320,777,train,1.660818499789581,0.1416768367371343
9,1000,[320|320|320|320|320],effn_w5_d320,777,val,2.5891669726160456,0.20987844213197002
9,1000,[320|320|320|320|320],effn_w5_d320,777,test,3.2508699053366836,0.2339399313756
9,1000,[320|320|320|320|320],effn_w5_d320,777,train,2.7404709642358487,0.21684757483199998
11,5000,[40|40|40|40|40],effn_w5_d320,777,val,2.235997038209288,0.18859884375851
11,5000,[40|40|40|40|40],effn_w5_d320,777,test,2.347443570969913,0.19162624273526
11,5000,[40|40|40|40|40],effn_w5_d320,777,train,1.467141869050645,0.15164514068113905
19,5000,[160|160|160|160|160],effn_w5_d320,777,val,2.6686560397454935,0.170262322374625
19,5000,[160|160|160|160|160],effn_w5_d320,777,test,2.785738968700143,0.171320517087832
19,5000,[160|160|160|160|160],effn_w5_d320,777,train,0.6754887901666086,0.08549021260952704
8,5000,[320|320|320|320|320],effn_w5_d320,777,val,0.6568102173551646,0.10105747149022198
8,5000,[320|320|320|320|320],effn_w5_d320,777,test,0.6852977212695847,0.10536390840873999
8,5000,[320|320|320|320|320],effn_w5_d320,777,train,0.09251723613184237,0.04258806738078228
9,1000,[20|20|20|20|20],effn_w5_d320,777,val,2.679712863254345,0.2146975059037
9,1000,[20|20|20|20|20],effn_w5_d320,777,test,3.342364414346591,0.23862273682584997
9,1000,[20|20|20|20|20],effn_w5_d320,777,train,2.8899856581627357,0.2236388141272
4,1000,[80|80|80|80|80],effn_w5_d320,777,val,2.7041962577512457,0.2925198364506
4,1000,[80|80|80|80|80],effn_w5_d320,777,test,3.4140606251269,0.324139585134
4,1000,[80|80|80|80|80],effn_w5_d320,777,train,2.7051268248418356,0.2907434963165714
18,1000,[20|20|20|20|20],effn_w5_d320,777,val,2.7573875954339,0.182253929335
18,1000,[20|20|20|20|20],effn_w5_d320,777,test,3.422741792205,0.20141671810000003
18,1000,[20|20|20|20|20],effn_w5_d320,777,train,2.9742287499820144,0.187398644189
16,1000,[80|80|80|80|80],effn_w5_d320,777,val,2.5694394515070496,0.17519246828
16,1000,[80|80|80|80|80],effn_w5_d320,777,test,2.61719053974318,0.18392916234270001
16,1000,[80|80|80|80|80],effn_w5_d320,777,train,2.640532416020397,0.17889494177271428
7,5000,[160|160|160|160|160],effn_w5_d320,777,val,0.8233232036083522,0.119982718626413
7,5000,[160|160|160|160|160],effn_w5_d320,777,test,0.646776872184588,0.10819456031888
7,5000,[160|160|160|160|160],effn_w5_d320,777,train,0.20667491138950567,0.06480219709224486
6,1000,[80|80|80|80|80],effn_w5_d320,777,val,2.7700307008906755,0.25200542441124996
6,1000,[80|80|80|80|80],effn_w5_d320,777,test,3.3952725539068003,0.282343404153
6,1000,[80|80|80|80|80],effn_w5_d320,777,train,3.143244454816861,0.2690884529562286
12,1000,[80|80|80|80|80],effn_w5_d320,777,val,2.77267483225825,0.20111844008500002
12,1000,[80|80|80|80|80],effn_w5_d320,777,test,2.8509994602709994,0.20659060913500002
12,1000,[80|80|80|80|80],effn_w5_d320,777,train,2.8218034344674647,0.1946574200967143
3,5000,[320|320|320|320|320],effn_w5_d320,777,val,0.25927207337732544,0.087555175264522
3,5000,[320|320|320|320|320],effn_w5_d320,777,test,0.2992359970268292,0.0865666769585
3,5000,[320|320|320|320|320],effn_w5_d320,777,train,0.15286771424556936,0.07114932957300714
18,5000,[80|80|80|80|80],effn_w5_d320,777,val,2.919083407234803,0.18093735068378
18,5000,[80|80|80|80|80],effn_w5_d320,777,test,2.730294108603316,0.17482200744008
18,5000,[80|80|80|80|80],effn_w5_d320,777,train,2.784426046045197,0.17833628649157143
7,1000,[80|80|80|80|80],effn_w5_d320,777,val,3.454533022389615,0.2659252674045
7,1000,[80|80|80|80|80],effn_w5_d320,777,test,3.0625972011879994,0.25552157532
7,1000,[80|80|80|80|80],effn_w5_d320,777,train,2.991132338134148,0.2406227733308286
20,5000,[20|20|20|20|20],effn_w5_d320,777,val,2.761918633547048,0.16927716517821
20,5000,[20|20|20|20|20],effn_w5_d320,777,test,3.01156448315533,0.18063882831397998
20,5000,[20|20|20|20|20],effn_w5_d320,777,train,2.8486007939960407,0.17402868021976287
11,1000,[40|40|40|40|40],effn_w5_d320,777,val,2.32172583576725,0.19015892353749997
11,1000,[40|40|40|40|40],effn_w5_d320,777,test,2.4190525333610005,0.19904401751
11,1000,[40|40|40|40|40],effn_w5_d320,777,train,2.8596021158170015,0.20953937943164286
15,5000,[20|20|20|20|20],effn_w5_d320,777,val,2.858929895645626,0.1881991991715
15,5000,[20|20|20|20|20],effn_w5_d320,777,test,2.907349498968214,0.18977143432093999
