dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
44,[20|20|20|20|20],effn_w5_d320,777,val,2.855040242682545,0.14475991014914125
44,[20|20|20|20|20],effn_w5_d320,777,test,2.8438366846742777,0.14454615715583
44,[20|20|20|20|20],effn_w5_d320,777,train,2.8134894694248382,0.14411917913242325
42,[80|80|80|80|80],effn_w5_d320,777,val,2.934811198849849,0.1485173247749628
42,[80|80|80|80|80],effn_w5_d320,777,test,2.931909962689857,0.1491187215460167
42,[80|80|80|80|80],effn_w5_d320,777,train,2.1037024296092426,0.1257729936749
48,[160|160|160|160|160],effn_w5_d320,777,val,2.8117252996968363,0.14087863462317157
48,[160|160|160|160|160],effn_w5_d320,777,test,2.8022547469348176,0.1410517807689831
48,[160|160|160|160|160],effn_w5_d320,777,train,1.1059931213437169,0.0889480574374746
42,[320|320|320|320|320],effn_w5_d320,777,val,2.3916470215103294,0.1295431417365027
42,[320|320|320|320|320],effn_w5_d320,777,test,2.2868144796190024,0.1286279967983447
42,[320|320|320|320|320],effn_w5_d320,777,train,0.17179576909438596,0.03706699792454346
43,[20|20|20|20|20],effn_w5_d320,777,val,2.816934689656395,0.14454640925011644
43,[20|20|20|20|20],effn_w5_d320,777,test,2.7946842229625917,0.14368686558936616
43,[20|20|20|20|20],effn_w5_d320,777,train,2.773724303641407,0.14374104935270024
45,[160|160|160|160|160],effn_w5_d320,777,val,2.726837386483316,0.13958069994850908
45,[160|160|160|160|160],effn_w5_d320,777,test,2.614775317705016,0.13540138200511295
45,[160|160|160|160|160],effn_w5_d320,777,train,0.8875564904149953,0.08064128189488208
47,[320|320|320|320|320],effn_w5_d320,777,val,2.582160364103217,0.13286280240695747
47,[320|320|320|320|320],effn_w5_d320,777,test,2.588281307783596,0.1326933318105936
47,[320|320|320|320|320],effn_w5_d320,777,train,0.24926417058545278,0.04347835858816681
42,[40|40|40|40|40],effn_w5_d320,777,val,2.89208410614629,0.14740276432600433
42,[40|40|40|40|40],effn_w5_d320,777,test,2.856622894406275,0.1470490183067399
42,[40|40|40|40|40],effn_w5_d320,777,train,2.567121197283662,0.1389338769835748
42,[160|160|160|160|160],effn_w5_d320,777,val,2.675495988433248,0.1392622019063419
42,[160|160|160|160|160],effn_w5_d320,777,test,2.605289803539838,0.1381661326613551
42,[160|160|160|160|160],effn_w5_d320,777,train,0.7218649372472962,0.07423687564843633
46,[40|40|40|40|40],effn_w5_d320,777,val,2.837545291097952,0.1433276342575433
46,[40|40|40|40|40],effn_w5_d320,777,test,2.8203769460327996,0.14301927944970233
46,[40|40|40|40|40],effn_w5_d320,777,train,2.612175278258546,0.1372373794447121
42,[20|20|20|20|20],effn_w5_d320,777,val,2.8390177154616585,0.14559560897129717
42,[20|20|20|20|20],effn_w5_d320,777,test,2.79989205982489,0.14578124952320873
42,[20|20|20|20|20],effn_w5_d320,777,train,2.7879255260166094,0.14471548836829043
43,[160|160|160|160|160],effn_w5_d320,777,val,2.6676471110896496,0.13927187424768814
43,[160|160|160|160|160],effn_w5_d320,777,test,2.5939276647563814,0.1365145140133397
43,[160|160|160|160|160],effn_w5_d320,777,train,0.7889780362605576,0.07718984046000162
43,[80|80|80|80|80],effn_w5_d320,777,val,2.929370181613662,0.1478323997727407
43,[80|80|80|80|80],effn_w5_d320,777,test,2.919656792704227,0.1476419207488747
43,[80|80|80|80|80],effn_w5_d320,777,train,2.1904252456551827,0.12777762857069772
41,[320|320|320|320|320],effn_w5_d320,777,val,2.309282949806576,0.12879372997086214
41,[320|320|320|320|320],effn_w5_d320,777,test,2.2138809050156687,0.12624072574243536
41,[320|320|320|320|320],effn_w5_d320,777,train,0.23327528417753984,0.04330448983072469
41,[40|40|40|40|40],effn_w5_d320,777,val,2.8662579973276188,0.1480785337496213
41,[40|40|40|40|40],effn_w5_d320,777,test,2.8163284186938866,0.14605848758998677
41,[40|40|40|40|40],effn_w5_d320,777,train,2.577701029248008,0.13998184331243252
48,[20|20|20|20|20],effn_w5_d320,777,val,2.7724486599839224,0.13984109176385315
48,[20|20|20|20|20],effn_w5_d320,777,test,2.803597199842934,0.1406732816735788
48,[20|20|20|20|20],effn_w5_d320,777,train,2.799346935909362,0.14078756534689538
45,[80|80|80|80|80],effn_w5_d320,777,val,2.943588585048891,0.1467518577645923
45,[80|80|80|80|80],effn_w5_d320,777,test,2.9727843272599306,0.14696869675241342
45,[80|80|80|80|80],effn_w5_d320,777,train,2.1765201829126357,0.12574276454953442
47,[20|20|20|20|20],effn_w5_d320,777,val,2.7738666416013302,0.1405259244275972
47,[20|20|20|20|20],effn_w5_d320,777,test,2.7944460934564677,0.1404317455056373
47,[20|20|20|20|20],effn_w5_d320,777,train,2.7968931649269275,0.14124606744751703
45,[40|40|40|40|40],effn_w5_d320,777,val,2.8644393017236536,0.14534828172061565
45,[40|40|40|40|40],effn_w5_d320,777,test,2.859943658937867,0.14501431717977725
45,[40|40|40|40|40],effn_w5_d320,777,train,2.525033223056574,0.13596101806149735
41,[20|20|20|20|20],effn_w5_d320,777,val,2.8389778263308676,0.14715868411116043
41,[20|20|20|20|20],effn_w5_d320,777,test,2.8083117073709296,0.1460539331763408
41,[20|20|20|20|20],effn_w5_d320,777,train,2.721276318951646,0.14379635052820752
48,[320|320|320|320|320],effn_w5_d320,777,val,2.6321504274802865,0.13343647359447808
48,[320|320|320|320|320],effn_w5_d320,777,test,2.621200573891136,0.13329487503698206
48,[320|320|320|320|320],effn_w5_d320,777,train,0.2226406061430897,0.040860758901721576
47,[80|80|80|80|80],effn_w5_d320,777,val,2.9199736371111507,0.14511327229721216
47,[80|80|80|80|80],effn_w5_d320,777,test,2.9625294425487274,0.14611113391769076
47,[80|80|80|80|80],effn_w5_d320,777,train,2.197332575779436,0.12541153883552564
46,[320|320|320|320|320],effn_w5_d320,777,val,2.5999137288064214,0.13335140774329587
46,[320|320|320|320|320],effn_w5_d320,777,test,2.58329533585458,0.1326758388498083
46,[320|320|320|320|320],effn_w5_d320,777,train,0.16541859996224878,0.035640589605985484
45,[320|320|320|320|320],effn_w5_d320,777,val,2.419683552558173,0.12970904203021832
45,[320|320|320|320|320],effn_w5_d320,777,test,2.4289915170960215,0.1298310537159807
45,[320|320|320|320|320],effn_w5_d320,777,train,0.1870839539396296,0.038057588127838
46,[20|20|20|20|20],effn_w5_d320,777,val,2.778043505939145,0.14145165637710236
46,[20|20|20|20|20],effn_w5_d320,777,test,2.768007242209516,0.1415994320477494
46,[20|20|20|20|20],effn_w5_d320,777,train,2.822538271035793,0.14283198555708443
41,[160|160|160|160|160],effn_w5_d320,777,val,2.5549073723331923,0.13808536857587406
41,[160|160|160|160|160],effn_w5_d320,777,test,2.4760992735728635,0.13521275782827394
41,[160|160|160|160|160],effn_w5_d320,777,train,0.6687332766804673,0.07186749306437282
45,[20|20|20|20|20],effn_w5_d320,777,val,2.8113449765077716,0.14373666947027877
45,[20|20|20|20|20],effn_w5_d320,777,test,2.76368618479257,0.1422364611830325
45,[20|20|20|20|20],effn_w5_d320,777,train,2.776355201375344,0.14262407366195204
47,[40|40|40|40|40],effn_w5_d320,777,val,2.8224115512055867,0.14202664573769586
47,[40|40|40|40|40],effn_w5_d320,777,test,2.8414182740619656,0.14214915932289388
47,[40|40|40|40|40],effn_w5_d320,777,train,2.5962424740554217,0.136180219132362
44,[40|40|40|40|40],effn_w5_d320,777,val,2.883517385104075,0.14570421306995937
44,[40|40|40|40|40],effn_w5_d320,777,test,2.8549564745223286,0.1450179381828796
44,[40|40|40|40|40],effn_w5_d320,777,train,2.6721189019059324,0.14054848066934572
41,[80|80|80|80|80],effn_w5_d320,777,val,2.894318259727581,0.14934704089060233
41,[80|80|80|80|80],effn_w5_d320,777,test,2.8885406273892777,0.1489751251681531
41,[80|80|80|80|80],effn_w5_d320,777,train,2.1405758616329287,0.1279249567307759
46,[160|160|160|160|160],effn_w5_d320,777,val,2.7759916139494694,0.13998306462842341
46,[160|160|160|160|160],effn_w5_d320,777,test,2.7586893484394923,0.14001856541873722
46,[160|160|160|160|160],effn_w5_d320,777,train,0.9412682613605587,0.08271562641824423
