dataset_params.dim,dataset_params.n_samples,epochs,model.hidden_dims,model,num_workers,seed,set,MSE,MAPE
1,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.0005942971596769737,0.0160411875862712
1,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.0005310858627996932,0.013802779536394602
1,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.0004937131585147844,0.012521156062136699
2,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.00935849140363141,0.015084870380500798
2,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.005833011846759712,0.013941196218713219
2,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.00966778170686008,0.015282665818206857
3,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.018422675604982765,0.017342527214910263
3,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.003939003314551595,0.011746319990408228
3,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.018200679677745222,0.016395752345773836
4,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.04050764837525615,0.02329560538213528
4,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.00671863478977185,0.013667483787493785
4,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.04258605735474315,0.023664981888581214
5,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.09919476499706967,0.033183135922186295
5,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.00945331031478166,0.01570680569014453
5,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.09107889045466537,0.03276970592861804
6,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.16327966819508333,0.0427379347213024
6,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.012191010133041101,0.016687959516621276
6,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.15681397793291615,0.042493725696396305
7,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.2524805530235731,0.05526977311758819
7,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.015189751628079954,0.01853870387972489
7,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.25623841346250004,0.055361676099528134
8,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.5015444538927266,0.08728596202077547
8,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.18352690480680017,0.05515537650766954
8,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.4964330304459167,0.08813983986419191
9,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.5541080931012199,0.0893733041281584
9,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.19745202192065714,0.054616635468375044
9,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.540816663350812,0.08787431566720373
10,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.6244475234780227,0.0924159704062478
10,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.14714571839786356,0.0467038776881261
10,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.5953077610173696,0.08962944287742153
11,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.6451449922862009,0.0895244287920022
11,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.1381723442691045,0.04390307429876435
11,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.6245156447194269,0.08942606465659136
12,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.6937542500193327,0.0915189277032282
12,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.1450374319735318,0.0434976911028044
12,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.6618037253040063,0.08849062761702023
13,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.7403206666800192,0.09183633524828001
13,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.14605894226514066,0.04260464795529243
13,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.6831093584904897,0.0892069726085056
14,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.7729979882304161,0.0922126148424446
14,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.10882583587638926,0.03600382427263248
14,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.7320906298150046,0.09011235865525598
15,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.8164077694168602,0.0929038887746092
15,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.11060868323656256,0.036138216564487124
15,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.812784678637697,0.0923201249221725
16,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,test,0.838338429322021,0.0927980536373884
16,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,train,0.09914169550389242,0.03360845655170898
16,50000,200,[640|640|640|640|640],effn_w5_d320,2,777,val,0.8512865120009044,0.09313745838303694
