dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
10,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.9059346437621593,0.1115076816783713
10,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.440559723838945,0.08200376714007804
14,50000,[80|80|80|80|80],effn_w5_d320,777,val,1.1540119571597867,0.116484839126983
14,50000,[80|80|80|80|80],effn_w5_d320,777,test,1.2058165558417535,0.1187328912058736
14,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.5001141354126489,0.0796419250641021
4,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.11189801848933277,0.044198767943336374
4,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.11322465222132362,0.043962992024262
4,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.05610412839288966,0.03532809531968779
19,50000,[80|80|80|80|80],effn_w5_d320,777,val,1.6448429694010487,0.1296986806290638
19,50000,[80|80|80|80|80],effn_w5_d320,777,test,1.6253787873971213,0.1298988776850991
19,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.6703401492811449,0.08509237001998078
5,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.21668099742838448,0.05834462697337076
5,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.22103017965986888,0.0585258462172181
5,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.09952813675621096,0.04427722192100416
16,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.2834386740788295,0.1678004335092759
16,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.2597292728102927,0.1669041550247116
16,50000,[20|20|20|20|20],effn_w5_d320,777,train,2.1076610231687227,0.160646329911001
6,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.47198090921430247,0.0945101160877703
6,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.4930956276876488,0.0955255490109512
6,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.3066208694358268,0.07853009665050865
1,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.000523081104557491,0.015085690224896425
1,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.0005723180108724005,0.01962788397350368
1,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.0005879178639017745,0.016884281434890912
3,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.028179597789888555,0.02287573754906989
3,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.028795011619100613,0.023880633781087998
3,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.011860910298959658,0.018830300965209757
11,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.7940584459873693,0.10120132025349993
11,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.8123180380221751,0.1018790136599006
11,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.2827386158844517,0.06399106469358803
8,50000,[40|40|40|40|40],effn_w5_d320,777,val,0.7700312833548197,0.11167546232191451
8,50000,[40|40|40|40|40],effn_w5_d320,777,test,0.7985125230299209,0.1113863100708592
8,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.5453651231730524,0.09592322235479853
7,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.47248302888387944,0.08969330301454038
7,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.47958075247587423,0.0896941454799574
7,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.2365508677079869,0.06564970865872032
18,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.688526577742472,0.17521293870595608
18,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.7898230880811834,0.17869444535023118
18,50000,[20|20|20|20|20],effn_w5_d320,777,train,2.5395334365638162,0.1698228832044703
17,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.722485376524884,0.1792648580153488
17,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.7397705340226146,0.180233267649076
17,50000,[20|20|20|20|20],effn_w5_d320,777,train,2.429820643709453,0.1698086227411963
10,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.6522948834788447,0.0939710879916831
10,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.6843475093934729,0.09658312476417079
10,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.1561224117783184,0.048591967134598804
14,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.4538379842220925,0.134780337898227
14,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.528504294390506,0.13763789274594002
14,50000,[40|40|40|40|40],effn_w5_d320,777,train,1.0255941718017534,0.11333191843205605
9,50000,[40|40|40|40|40],effn_w5_d320,777,val,0.9390477125364097,0.11981414379247103
9,50000,[40|40|40|40|40],effn_w5_d320,777,test,0.9380106271451616,0.12101684618632319
9,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.6504838703416489,0.10186382211972438
16,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.926866179735249,0.15343240056261317
16,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.9606833413972977,0.1547258166994934
16,50000,[40|40|40|40|40],effn_w5_d320,777,train,1.4101095233837513,0.1311221494426932
12,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.7560090292177316,0.0952076174072987
12,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.7930124556524063,0.09774587129635119
12,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.19064169171495457,0.05119138599810713
19,50000,[40|40|40|40|40],effn_w5_d320,777,val,2.281690839518707,0.15904931642187276
19,50000,[40|40|40|40|40],effn_w5_d320,777,test,2.239170873157961,0.15951627181924022
19,50000,[40|40|40|40|40],effn_w5_d320,777,train,1.6885761366944392,0.1373684172543889
6,50000,[20|20|20|20|20],effn_w5_d320,777,val,0.7527873431789031,0.12447449228394934
6,50000,[20|20|20|20|20],effn_w5_d320,777,test,0.7770770509367747,0.12428184924824488
6,50000,[20|20|20|20|20],effn_w5_d320,777,train,0.6792346982671612,0.11849621858788424
3,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.1180548079700786,0.054384142849263926
3,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.11932107805882738,0.054844267335636195
3,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.09086531944508738,0.05050881616176237
1,50000,[20|20|20|20|20],effn_w5_d320,777,val,0.0027926180851027137,0.02956115552366448
1,50000,[20|20|20|20|20],effn_w5_d320,777,test,0.002769797838244681,0.0357040131760316
1,50000,[20|20|20|20|20],effn_w5_d320,777,train,0.0029333010414111962,0.03806261696231714
4,50000,[40|40|40|40|40],effn_w5_d320,777,val,0.3671846290192516,0.09383687778733836
4,50000,[40|40|40|40|40],effn_w5_d320,777,test,0.36158799993765645,0.09323643322557598
4,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.3062686280758668,0.08723051409686601
13,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.3677429196740292,0.1328737692259454
13,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.4205448687483433,0.13449170383121378
13,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.9301602700291215,0.10937579044919787
2,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.011378742714886194,0.017643725249908353
2,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.010905670583586326,0.0173895547361654
2,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.007454497375257836,0.01616283995692017
16,50000,[80|80|80|80|80],effn_w5_d320,777,val,1.3661898710921583,0.12324114313769255
16,50000,[80|80|80|80|80],effn_w5_d320,777,test,1.4024923084549956,0.12401571242701859
16,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.6370529477596848,0.08607681610740146
8,50000,[80|80|80|80|80],effn_w5_d320,777,val,0.6554290676019006,0.10142645397597479
8,50000,[80|80|80|80|80],effn_w5_d320,777,test,0.680438238226618,0.10165604666436279
8,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.37040746930283297,0.07972882554085284
8,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.5834947542057256,0.09552286789255954
8,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.6191091918575905,0.097343923687314
8,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.27572074425375526,0.06858725903870075
10,50000,[20|20|20|20|20],effn_w5_d320,777,val,1.7776316981463927,0.1704587063044779
10,50000,[20|20|20|20|20],effn_w5_d320,777,test,1.8126735037148107,0.17163705616418848
10,50000,[20|20|20|20|20],effn_w5_d320,777,train,1.5985417813480802,0.1617361982276135
18,50000,[160|160|160|160|160],effn_w5_d320,777,val,1.337978031457004,0.11631896081243069
18,50000,[160|160|160|160|160],effn_w5_d320,777,test,1.3413840269290869,0.1175835378095036
18,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.4004965090529917,0.06710915488946459
4,50000,[20|20|20|20|20],effn_w5_d320,777,val,0.4994039004821076,0.11585876753687685
4,50000,[20|20|20|20|20],effn_w5_d320,777,test,0.4783575821471989,0.1145709445706932
4,50000,[20|20|20|20|20],effn_w5_d320,777,train,0.451328504707497,0.11125382741456383
13,50000,[160|160|160|160|160],effn_w5_d320,777,val,0.9208889116759877,0.10426728894022681
13,50000,[160|160|160|160|160],effn_w5_d320,777,test,0.9769560117848416,0.10626378298258841
13,50000,[160|160|160|160|160],effn_w5_d320,777,train,0.2839387338004053,0.06121737872449543
5,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.12691256685138363,0.04140927888646555
5,50000,[320|320|320|320|320],effn_w5_d320,777,test,0.1306099091180632,0.04160407552844211
