dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
4,5000,[40|40|40|40|40],effn_w5_d320,999,val,0.5297188766812108,0.130907498500613
4,5000,[40|40|40|40|40],effn_w5_d320,999,test,0.5601646155830866,0.13438721919670002
4,5000,[40|40|40|40|40],effn_w5_d320,999,train,0.40684408208257133,0.11272084116898572
4,5000,[40|40|40|40|40],effn_w5_d320,888,val,0.5379478844075875,0.13017094719073
4,5000,[40|40|40|40|40],effn_w5_d320,888,test,0.560040005542156,0.13120894362574
4,5000,[40|40|40|40|40],effn_w5_d320,888,train,0.42972773738243597,0.11401532924615429
1,1000,[80|80|80|80|80],effn_w5_d320,999,val,0.155495909456622,0.22698134826
1,1000,[80|80|80|80|80],effn_w5_d320,999,test,0.12203636194747457,0.220008372635594
1,1000,[80|80|80|80|80],effn_w5_d320,999,train,0.14576451897634332,0.2100141435380571
1,1000,[80|80|80|80|80],effn_w5_d320,888,val,0.17845566801047497,0.22768656199550003
1,1000,[80|80|80|80|80],effn_w5_d320,888,test,0.134333173877595,0.2086102075885
1,1000,[80|80|80|80|80],effn_w5_d320,888,train,0.17272474687243602,0.20357205362224282
8,1000,[160|160|160|160|160],effn_w5_d320,999,val,2.931328628754069,0.2346866542578
8,1000,[160|160|160|160|160],effn_w5_d320,999,test,3.0176327887655803,0.23720001948900002
8,1000,[160|160|160|160|160],effn_w5_d320,999,train,2.757168578281833,0.22732256524814284
8,1000,[160|160|160|160|160],effn_w5_d320,888,val,2.9432801259233496,0.235340111753
8,1000,[160|160|160|160|160],effn_w5_d320,888,test,3.0506145322932996,0.238614480908
8,1000,[160|160|160|160|160],effn_w5_d320,888,train,2.775713896918842,0.2285763308451
7,5000,[40|40|40|40|40],effn_w5_d320,999,val,1.121840067120714,0.14772975170865
7,5000,[40|40|40|40|40],effn_w5_d320,999,test,1.0572129459156598,0.14396566778268002
7,5000,[40|40|40|40|40],effn_w5_d320,999,train,0.615603899614979,0.11002317161579998
7,5000,[40|40|40|40|40],effn_w5_d320,888,val,1.171877126349751,0.14798780135648001
7,5000,[40|40|40|40|40],effn_w5_d320,888,test,1.0825018744732515,0.13952557855101996
7,5000,[40|40|40|40|40],effn_w5_d320,888,train,0.7252124247211791,0.119248708605264
12,5000,[80|80|80|80|80],effn_w5_d320,999,val,2.1251581839355747,0.17414195485972
12,5000,[80|80|80|80|80],effn_w5_d320,999,test,2.1132955904605395,0.17678309199
12,5000,[80|80|80|80|80],effn_w5_d320,999,train,1.065256730599199,0.12325704778550857
12,5000,[80|80|80|80|80],effn_w5_d320,888,val,1.5980275184169377,0.14838129248401
12,5000,[80|80|80|80|80],effn_w5_d320,888,test,1.53224804909988,0.14806293973575999
12,5000,[80|80|80|80|80],effn_w5_d320,888,train,0.5666698278245756,0.08910362537527858
7,1000,[40|40|40|40|40],effn_w5_d320,999,val,3.444188937966,0.26565270965750004
7,1000,[40|40|40|40|40],effn_w5_d320,999,test,3.0561404668895,0.25410526693099994
7,1000,[40|40|40|40|40],effn_w5_d320,999,train,2.9904033589357013,0.24070253125935714
7,1000,[40|40|40|40|40],effn_w5_d320,888,val,3.451294942822,0.266305987635
7,1000,[40|40|40|40|40],effn_w5_d320,888,test,3.0686100495339996,0.25484824964599995
7,1000,[40|40|40|40|40],effn_w5_d320,888,train,2.991025779224049,0.24057435376177141
13,1000,[80|80|80|80|80],effn_w5_d320,999,val,3.5534583475484998,0.22210055697999997
13,1000,[80|80|80|80|80],effn_w5_d320,999,test,3.0411711354637005,0.2003403877653
13,1000,[80|80|80|80|80],effn_w5_d320,999,train,2.885747944023454,0.2013570052055429
13,1000,[80|80|80|80|80],effn_w5_d320,888,val,3.55154996398,0.2220160362325
13,1000,[80|80|80|80|80],effn_w5_d320,888,test,3.0357822409829005,0.200620971517
13,1000,[80|80|80|80|80],effn_w5_d320,888,train,2.894216953170816,0.2016051509438857
16,5000,[80|80|80|80|80],effn_w5_d320,999,val,2.604413953403478,0.1811562099087055
16,5000,[80|80|80|80|80],effn_w5_d320,999,test,2.549555724228796,0.1815293564444
16,5000,[80|80|80|80|80],effn_w5_d320,999,train,1.1385598032068156,0.117438789377928
16,5000,[80|80|80|80|80],effn_w5_d320,888,val,2.7952178167404482,0.18542041748505197
16,5000,[80|80|80|80|80],effn_w5_d320,888,test,2.606283895250947,0.17849417990296002
16,5000,[80|80|80|80|80],effn_w5_d320,888,train,2.763359397880036,0.1812721681871706
9,1000,[320|320|320|320|320],effn_w5_d320,999,val,2.62163233343835,0.2112632049575
9,1000,[320|320|320|320|320],effn_w5_d320,999,test,3.2834692824638005,0.23613085254900004
9,1000,[320|320|320|320|320],effn_w5_d320,999,train,2.770082732550345,0.2180617117835286
9,1000,[320|320|320|320|320],effn_w5_d320,888,val,2.6140464984315996,0.21106088921850003
9,1000,[320|320|320|320|320],effn_w5_d320,888,test,3.2805386284915006,0.23599792285200002
9,1000,[320|320|320|320|320],effn_w5_d320,888,train,2.75936046519814,0.21791986593888574
11,5000,[40|40|40|40|40],effn_w5_d320,999,val,2.728030574559852,0.20394245035890005
11,5000,[40|40|40|40|40],effn_w5_d320,999,test,2.887241213969406,0.20706216633910002
11,5000,[40|40|40|40|40],effn_w5_d320,999,train,2.6227931850457824,0.19750820596307914
11,5000,[40|40|40|40|40],effn_w5_d320,888,val,2.544933433913914,0.20147481890221
11,5000,[40|40|40|40|40],effn_w5_d320,888,test,2.8516079508945706,0.20990452828887998
11,5000,[40|40|40|40|40],effn_w5_d320,888,train,2.1267530466283433,0.18154760445398713
19,5000,[160|160|160|160|160],effn_w5_d320,999,val,2.7590368716238047,0.17351547419909996
19,5000,[160|160|160|160|160],effn_w5_d320,999,test,2.788121282785827,0.17210536805152
19,5000,[160|160|160|160|160],effn_w5_d320,999,train,1.1555013191500023,0.11140778221385657
19,5000,[160|160|160|160|160],effn_w5_d320,888,val,2.4683845777883406,0.16849133173843
19,5000,[160|160|160|160|160],effn_w5_d320,888,test,2.69767809974708,0.17981771995202
19,5000,[160|160|160|160|160],effn_w5_d320,888,train,0.48818752378843705,0.07543631277720217
8,5000,[320|320|320|320|320],effn_w5_d320,999,val,0.7149399414825557,0.105115622448153
8,5000,[320|320|320|320|320],effn_w5_d320,999,test,0.7504562359211616,0.10641723200728
8,5000,[320|320|320|320|320],effn_w5_d320,999,train,0.11358494282338744,0.04704618326150343
8,5000,[320|320|320|320|320],effn_w5_d320,888,val,0.693484611509432,0.10502389461351001
8,5000,[320|320|320|320|320],effn_w5_d320,888,test,0.6466204802502118,0.10356987636701001
8,5000,[320|320|320|320|320],effn_w5_d320,888,train,0.11095741369587488,0.04621172648133257
9,1000,[20|20|20|20|20],effn_w5_d320,999,val,2.6860569435013333,0.21487185451147497
9,1000,[20|20|20|20|20],effn_w5_d320,999,test,3.3309215396905,0.23787335454400002
9,1000,[20|20|20|20|20],effn_w5_d320,999,train,2.8880620701324013,0.22349954115157142
9,1000,[20|20|20|20|20],effn_w5_d320,888,val,2.68405767768455,0.21527989347249998
9,1000,[20|20|20|20|20],effn_w5_d320,888,test,3.33634420318055,0.238038064388
9,1000,[20|20|20|20|20],effn_w5_d320,888,train,2.894341039223021,0.22381187177467146
4,1000,[80|80|80|80|80],effn_w5_d320,999,val,2.7176442077783998,0.293442693355
4,1000,[80|80|80|80|80],effn_w5_d320,999,test,3.4310153159543,0.324016332436
4,1000,[80|80|80|80|80],effn_w5_d320,999,train,2.7333476909242953,0.2921264081749285
4,1000,[80|80|80|80|80],effn_w5_d320,888,val,2.746989514747301,0.29489478550245
4,1000,[80|80|80|80|80],effn_w5_d320,888,test,3.47573142351,0.326667065845
4,1000,[80|80|80|80|80],effn_w5_d320,888,train,2.7563950199161296,0.2932147230417143
18,1000,[20|20|20|20|20],effn_w5_d320,999,val,2.760531439203802,0.18220542284345
18,1000,[20|20|20|20|20],effn_w5_d320,999,test,3.4267204197070003,0.20171115510000004
18,1000,[20|20|20|20|20],effn_w5_d320,999,train,2.978307374753558,0.18756430773297142
18,1000,[20|20|20|20|20],effn_w5_d320,888,val,2.76052377021253,0.1823877611543
18,1000,[20|20|20|20|20],effn_w5_d320,888,test,3.4146219320939997,0.20142301833199996
18,1000,[20|20|20|20|20],effn_w5_d320,888,train,2.977539642114486,0.18755078964100003
16,1000,[80|80|80|80|80],effn_w5_d320,999,val,2.5779182910873497,0.17540328402500002
16,1000,[80|80|80|80|80],effn_w5_d320,999,test,2.61061410283035,0.183368804403
16,1000,[80|80|80|80|80],effn_w5_d320,999,train,2.634295878109937,0.17862845435744287
16,1000,[80|80|80|80|80],effn_w5_d320,888,val,2.58435000725009,0.1756241950285
16,1000,[80|80|80|80|80],effn_w5_d320,888,test,2.6188777510721,0.18373604331999996
16,1000,[80|80|80|80|80],effn_w5_d320,888,train,2.634573020166557,0.17866446868228572
7,5000,[160|160|160|160|160],effn_w5_d320,999,val,0.8009491257925488,0.11695695802171499
7,5000,[160|160|160|160|160],effn_w5_d320,999,test,0.6590267131739392,0.10909790778867999
7,5000,[160|160|160|160|160],effn_w5_d320,999,train,0.21991477082718225,0.06798195946707486
7,5000,[160|160|160|160|160],effn_w5_d320,888,val,0.7567717240298172,0.11689011807574999
7,5000,[160|160|160|160|160],effn_w5_d320,888,test,0.7001633327700938,0.11310901772584
7,5000,[160|160|160|160|160],effn_w5_d320,888,train,0.20859038813294398,0.065155283565382
6,1000,[80|80|80|80|80],effn_w5_d320,999,val,2.7950653217317996,0.253942493743
6,1000,[80|80|80|80|80],effn_w5_d320,999,test,3.3868359509516,0.281901665278
