dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
18,[5|5|5|5|5],effn_w5_d320,777,val,2.847158354426273,0.17985873352615053
18,[5|5|5|5|5],effn_w5_d320,777,test,2.745181458221437,0.1777629902203305
18,[5|5|5|5|5],effn_w5_d320,777,train,2.77864491276968,0.17798093288467906
12,[10|10|10|10|10],effn_w5_d320,777,val,2.6082095151451665,0.1950645265590595
12,[10|10|10|10|10],effn_w5_d320,777,test,2.5792259543463705,0.19418103523781619
12,[10|10|10|10|10],effn_w5_d320,777,train,2.5154633266305657,0.19085123641965548
3,[5|5|5|5|5],effn_w5_d320,777,val,2.896634977861808,0.3514785779330374
3,[5|5|5|5|5],effn_w5_d320,777,test,2.7665471143650366,0.34412218752727197
3,[5|5|5|5|5],effn_w5_d320,777,train,2.860956640759735,0.3493382610368795
14,[20|20|20|20|20],effn_w5_d320,777,val,2.091798402686704,0.1627463477896044
14,[20|20|20|20|20],effn_w5_d320,777,test,2.168222022709152,0.165402465531603
14,[20|20|20|20|20],effn_w5_d320,777,train,1.9343059953893136,0.15692839987016208
21,[20|20|20|20|20],effn_w5_d320,777,val,2.6953972454534023,0.16822904226565843
21,[20|20|20|20|20],effn_w5_d320,777,test,2.663841486180948,0.168078083508743
21,[20|20|20|20|20],effn_w5_d320,777,train,2.5519121284648065,0.1634576788919818
15,[10|10|10|10|10],effn_w5_d320,777,val,2.759570910826683,0.18688801325674226
15,[10|10|10|10|10],effn_w5_d320,777,test,2.7684143632908396,0.18683527760904206
15,[10|10|10|10|10],effn_w5_d320,777,train,2.702226612471793,0.18390756925537471
14,[5|5|5|5|5],effn_w5_d320,777,val,2.83329677448559,0.19190114553713594
14,[5|5|5|5|5],effn_w5_d320,777,test,2.9391090878881334,0.195978450293784
14,[5|5|5|5|5],effn_w5_d320,777,train,2.8492975666047173,0.19261602132765465
17,[20|20|20|20|20],effn_w5_d320,777,val,2.4011099654722203,0.1682396260195983
17,[20|20|20|20|20],effn_w5_d320,777,test,2.296735746825989,0.16451495305773892
17,[20|20|20|20|20],effn_w5_d320,777,train,2.2117291265820986,0.16085406494961793
2,[5|5|5|5|5],effn_w5_d320,777,val,2.6974537655761552,0.4275573569863234
2,[5|5|5|5|5],effn_w5_d320,777,test,2.7503510917095784,0.425218548663201
2,[5|5|5|5|5],effn_w5_d320,777,train,2.706741504073312,0.42749240394792515
7,[10|10|10|10|10],effn_w5_d320,777,val,1.7391974280504756,0.19154497553266212
7,[10|10|10|10|10],effn_w5_d320,777,test,1.7386954137534922,0.19112169491814654
7,[10|10|10|10|10],effn_w5_d320,777,train,1.6954620590851157,0.18942821658093123
12,[20|20|20|20|20],effn_w5_d320,777,val,1.8894070418266415,0.16481279679521166
12,[20|20|20|20|20],effn_w5_d320,777,test,1.863669836143508,0.1640608903702603
12,[20|20|20|20|20],effn_w5_d320,777,train,1.715508391489286,0.1565652646646757
18,[10|10|10|10|10],effn_w5_d320,777,val,2.8025807903821147,0.1787308940539957
18,[10|10|10|10|10],effn_w5_d320,777,test,2.6971292588345532,0.1763775443386057
