dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
4,5000,[40|40|40|40|40],effn_w5_d320,777,val,0.4606085727777742,0.12008400805087
4,5000,[40|40|40|40|40],effn_w5_d320,777,test,0.48088069689189544,0.11776230212514
4,5000,[40|40|40|40|40],effn_w5_d320,777,train,0.364604952051356,0.10596653422566372
7,5000,[40|40|40|40|40],effn_w5_d320,777,val,1.06029460593601,0.14010989878920999
7,5000,[40|40|40|40|40],effn_w5_d320,777,test,0.8775314725384371,0.1302020278382
7,5000,[40|40|40|40|40],effn_w5_d320,777,train,0.5542939608696262,0.10421272871955371
10,10000,[320|320|320|320|320],effn_w5_d320,777,val,0.7458793040510505,0.1018092976187375
10,10000,[320|320|320|320|320],effn_w5_d320,777,test,0.7355881207152826,0.09840610607956
10,10000,[320|320|320|320|320],effn_w5_d320,777,train,0.10133982861877298,0.03914906421047057
12,5000,[80|80|80|80|80],effn_w5_d320,777,val,2.1898529492907253,0.17788742312699998
12,5000,[80|80|80|80|80],effn_w5_d320,777,test,2.2853963119012595,0.18647463372478001
12,5000,[80|80|80|80|80],effn_w5_d320,777,train,1.4114496765688314,0.14422265024775713
16,10000,[320|320|320|320|320],effn_w5_d320,777,val,1.1528365759957064,0.112289735763635
16,10000,[320|320|320|320|320],effn_w5_d320,777,test,1.2283571799071349,0.11299602050529
16,10000,[320|320|320|320|320],effn_w5_d320,777,train,0.03681956977859413,0.02145805562442383
14,10000,[40|40|40|40|40],effn_w5_d320,777,val,2.6050131757211408,0.18114768979407
14,10000,[40|40|40|40|40],effn_w5_d320,777,test,2.626123335753607,0.17753476451092498
14,10000,[40|40|40|40|40],effn_w5_d320,777,train,1.5451816213085092,0.1393628661273657
15,10000,[40|40|40|40|40],effn_w5_d320,777,val,2.319911757593116,0.17763448855584
15,10000,[40|40|40|40|40],effn_w5_d320,777,test,2.3982455801978375,0.17787773998828002
15,10000,[40|40|40|40|40],effn_w5_d320,777,train,1.6025049059747054,0.14346199944436
11,5000,[40|40|40|40|40],effn_w5_d320,777,val,2.235997038209288,0.18859884375851
11,5000,[40|40|40|40|40],effn_w5_d320,777,test,2.347443570969913,0.19162624273526
11,5000,[40|40|40|40|40],effn_w5_d320,777,train,1.467141869050645,0.15164514068113905
5,10000,[40|40|40|40|40],effn_w5_d320,777,val,0.6613306444093674,0.1241004891097775
5,10000,[40|40|40|40|40],effn_w5_d320,777,test,0.6633829998572047,0.1197977178266
5,10000,[40|40|40|40|40],effn_w5_d320,777,train,0.43653173354351105,0.102865131649223
20,10000,[20|20|20|20|20],effn_w5_d320,777,val,2.814544750285266,0.172715111642455
20,10000,[20|20|20|20|20],effn_w5_d320,777,test,2.657530482019277,0.172181413557505
20,10000,[20|20|20|20|20],effn_w5_d320,777,train,2.858729156068594,0.17544552747696734
8,5000,[320|320|320|320|320],effn_w5_d320,777,val,0.6568102173551646,0.10105747149022198
8,5000,[320|320|320|320|320],effn_w5_d320,777,test,0.6852977212695847,0.10536390840873999
8,5000,[320|320|320|320|320],effn_w5_d320,777,train,0.09251723613184237,0.04258806738078228
10,10000,[20|20|20|20|20],effn_w5_d320,777,val,2.241523008379944,0.190865761181785
10,10000,[20|20|20|20|20],effn_w5_d320,777,test,2.451472598689589,0.19622141848271502
10,10000,[20|20|20|20|20],effn_w5_d320,777,train,1.9756066235811307,0.1790601188157814
19,10000,[40|40|40|40|40],effn_w5_d320,777,val,2.8743459689725395,0.17904901173383
19,10000,[40|40|40|40|40],effn_w5_d320,777,test,2.9147267577048743,0.18101091602063002
19,10000,[40|40|40|40|40],effn_w5_d320,777,train,2.8053731820564995,0.1765828822618657
7,5000,[160|160|160|160|160],effn_w5_d320,777,val,0.8233232036083522,0.119982718626413
7,5000,[160|160|160|160|160],effn_w5_d320,777,test,0.646776872184588,0.10819456031888
7,5000,[160|160|160|160|160],effn_w5_d320,777,train,0.20667491138950567,0.06480219709224486
8,10000,[160|160|160|160|160],effn_w5_d320,777,val,0.7260078992475474,0.10759871386071251
8,10000,[160|160|160|160|160],effn_w5_d320,777,test,0.7391959436806309,0.11081570382719
8,10000,[160|160|160|160|160],effn_w5_d320,777,train,0.2269059441959145,0.06437593736169357
14,10000,[320|320|320|320|320],effn_w5_d320,777,val,1.0332902799674444,0.107864676736639
14,10000,[320|320|320|320|320],effn_w5_d320,777,test,1.1057229476593502,0.11349059919589999
14,10000,[320|320|320|320|320],effn_w5_d320,777,train,0.053753362988862435,0.026857861728548857
3,5000,[320|320|320|320|320],effn_w5_d320,777,val,0.25927207337732544,0.087555175264522
3,5000,[320|320|320|320|320],effn_w5_d320,777,test,0.2992359970268292,0.0865666769585
3,5000,[320|320|320|320|320],effn_w5_d320,777,train,0.15286771424556936,0.07114932957300714
16,10000,[40|40|40|40|40],effn_w5_d320,777,val,2.5433351775430317,0.18137521420565
16,10000,[40|40|40|40|40],effn_w5_d320,777,test,2.9048590978590245,0.18727540726824998
16,10000,[40|40|40|40|40],effn_w5_d320,777,train,2.01219526921077,0.15730350882187916
8,10000,[320|320|320|320|320],effn_w5_d320,777,val,0.6641453330648215,0.103567810090435
8,10000,[320|320|320|320|320],effn_w5_d320,777,test,0.6218401735231258,0.09837381146011301
8,10000,[320|320|320|320|320],effn_w5_d320,777,train,0.1444343203225007,0.050759310776052564
19,10000,[320|320|320|320|320],effn_w5_d320,777,val,1.4568168064334341,0.1226485455985725
19,10000,[320|320|320|320|320],effn_w5_d320,777,test,1.5588961330672,0.12227316412231
19,10000,[320|320|320|320|320],effn_w5_d320,777,train,0.027727314609501758,0.01845902215020737
18,10000,[160|160|160|160|160],effn_w5_d320,777,val,1.623387338609001,0.12917176912505499
18,10000,[160|160|160|160|160],effn_w5_d320,777,test,1.5752712593006382,0.12975948814058
18,10000,[160|160|160|160|160],effn_w5_d320,777,train,0.14137256903326464,0.04107984221488439
2,5000,[320|320|320|320|320],effn_w5_d320,777,val,0.08688776438207847,0.064355465510245
2,5000,[320|320|320|320|320],effn_w5_d320,777,test,0.07244083057399436,0.0541437926055186
2,5000,[320|320|320|320|320],effn_w5_d320,777,train,0.06215516512473237,0.05395491234942828
3,10000,[20|20|20|20|20],effn_w5_d320,777,val,0.3986573144350017,0.121444476468711
3,10000,[20|20|20|20|20],effn_w5_d320,777,test,0.3760369344101529,0.11964198823212999
3,10000,[20|20|20|20|20],effn_w5_d320,777,train,0.3335459887754188,0.11546318040488772
13,10000,[160|160|160|160|160],effn_w5_d320,777,val,1.298009555420809,0.12577633955697
13,10000,[160|160|160|160|160],effn_w5_d320,777,test,1.170937765736497,0.122127518895105
13,10000,[160|160|160|160|160],effn_w5_d320,777,train,0.1877579003881692,0.051372980620098006
4,5000,[320|320|320|320|320],effn_w5_d320,777,val,0.32695357464407776,0.09645702289648
4,5000,[320|320|320|320|320],effn_w5_d320,777,test,0.3745622472439051,0.10273164631573599
