dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
128,[40|40|40|40|40],effn_w5_d320,777,val,2.805880563105969,0.11675108303768311
128,[40|40|40|40|40],effn_w5_d320,777,test,2.805411843728969,0.11672634115806729
128,[40|40|40|40|40],effn_w5_d320,777,train,2.8139568594711895,0.11661546259676922
32,[160|160|160|160|160],effn_w5_d320,777,val,2.0852806971248916,0.1287495816906805
32,[160|160|160|160|160],effn_w5_d320,777,test,2.043071110305059,0.12824905225693534
32,[160|160|160|160|160],effn_w5_d320,777,train,0.6024822092121144,0.07176627420278306
64,[10|10|10|10|10],effn_w5_d320,777,val,2.8309991650232953,0.13447740127204494
64,[10|10|10|10|10],effn_w5_d320,777,test,2.760203708887063,0.13235348550133663
64,[10|10|10|10|10],effn_w5_d320,777,train,2.8050226151031676,0.13291052466730535
256,[10|10|10|10|10],effn_w5_d320,777,val,2.780092314882539,0.1036279244427785
256,[10|10|10|10|10],effn_w5_d320,777,test,2.812424510893444,0.10425493933274399
256,[10|10|10|10|10],effn_w5_d320,777,train,2.7772831585225393,0.10335027268082243
26,[160|160|160|160|160],effn_w5_d320,777,val,1.6867067340284687,0.1203655312880411
26,[160|160|160|160|160],effn_w5_d320,777,test,1.738549314017665,0.12261472681205694
26,[160|160|160|160|160],effn_w5_d320,777,train,0.45470524294857856,0.06570051647873874
26,[40|40|40|40|40],effn_w5_d320,777,val,2.4057315434807576,0.15036751455171102
26,[40|40|40|40|40],effn_w5_d320,777,test,2.4357720964684697,0.1509426869630664
26,[40|40|40|40|40],effn_w5_d320,777,train,2.021550822998405,0.13760732838725023
128,[80|80|80|80|80],effn_w5_d320,777,val,2.805806631938238,0.11675323388209477
128,[80|80|80|80|80],effn_w5_d320,777,test,2.8053175655235605,0.11673266386062901
128,[80|80|80|80|80],effn_w5_d320,777,train,2.8140234985511836,0.11662173552538754
256,[20|20|20|20|20],effn_w5_d320,777,val,2.780147961142698,0.10362541345346801
256,[20|20|20|20|20],effn_w5_d320,777,test,2.812269794775034,0.104248237582047
256,[20|20|20|20|20],effn_w5_d320,777,train,2.7771743572148626,0.10334389927242787
31,[20|20|20|20|20],effn_w5_d320,777,val,2.7908305334565418,0.1554046307434005
31,[20|20|20|20|20],effn_w5_d320,777,test,2.776661015393679,0.155255090759617
31,[20|20|20|20|20],effn_w5_d320,777,train,2.6834203586957113,0.15254021645935303
