dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
34,[320|320|320|320|320],effn_w5_d320,777,val,1.9005782529056552,0.12007851308096044
34,[320|320|320|320|320],effn_w5_d320,777,test,1.884036196514205,0.1198418065104931
34,[320|320|320|320|320],effn_w5_d320,777,train,0.17694425219810497,0.03932473425695413
37,[160|160|160|160|160],effn_w5_d320,777,val,2.3697309125687034,0.13386930986943596
37,[160|160|160|160|160],effn_w5_d320,777,test,2.399897328248905,0.13474665725840396
37,[160|160|160|160|160],effn_w5_d320,777,train,0.5691429758377958,0.06791535467639219
35,[20|20|20|20|20],effn_w5_d320,777,val,2.851027418402254,0.1531355794973866
35,[20|20|20|20|20],effn_w5_d320,777,test,2.854415534174444,0.152364884903838
35,[20|20|20|20|20],effn_w5_d320,777,train,2.684928962982405,0.14829962004277383
38,[320|320|320|320|320],effn_w5_d320,777,val,2.11872058321639,0.12515258790206582
38,[320|320|320|320|320],effn_w5_d320,777,test,2.084219430378099,0.1231720505659636
38,[320|320|320|320|320],effn_w5_d320,777,train,0.19529080491420048,0.04019231412184892
38,[160|160|160|160|160],effn_w5_d320,777,val,2.439657845740066,0.1359824089120535
38,[160|160|160|160|160],effn_w5_d320,777,test,2.394232899077985,0.13435731525240818
38,[160|160|160|160|160],effn_w5_d320,777,train,0.6113233596065301,0.06977649107734321
33,[5|5|5|5|5],effn_w5_d320,777,val,2.8119110158439655,0.15285602971602996
33,[5|5|5|5|5],effn_w5_d320,777,test,2.775625095244587,0.15287330236537697
33,[5|5|5|5|5],effn_w5_d320,777,train,2.800616545234298,0.153333596914589
38,[5|5|5|5|5],effn_w5_d320,777,val,2.8181020341967433,0.1491706523747877
38,[5|5|5|5|5],effn_w5_d320,777,test,2.830784194458812,0.14875132769628902
38,[5|5|5|5|5],effn_w5_d320,777,train,2.806861819596062,0.14869702629471687
40,[80|80|80|80|80],effn_w5_d320,777,val,2.8528969458844022,0.14869703350352506
40,[80|80|80|80|80],effn_w5_d320,777,test,2.8575724012562516,0.14821001577183782
40,[80|80|80|80|80],effn_w5_d320,777,train,2.15534181949948,0.12885665352304326
39,[10|10|10|10|10],effn_w5_d320,777,val,2.835840014737328,0.14836504883375914
39,[10|10|10|10|10],effn_w5_d320,777,test,2.830401148694994,0.148475787940168
39,[10|10|10|10|10],effn_w5_d320,777,train,2.786617106006916,0.14701014274276442
33,[40|40|40|40|40],effn_w5_d320,777,val,2.8075563130840586,0.1538977350500862
33,[40|40|40|40|40],effn_w5_d320,777,test,2.779795875775792,0.1546088224556698
33,[40|40|40|40|40],effn_w5_d320,777,train,2.4364229994310045,0.14341058591097444
34,[40|40|40|40|40],effn_w5_d320,777,val,2.8584415319989733,0.15486653220629415
34,[40|40|40|40|40],effn_w5_d320,777,test,2.807096407363971,0.15349753373358463
34,[40|40|40|40|40],effn_w5_d320,777,train,2.5221029646944233,0.1450193897803638
39,[20|20|20|20|20],effn_w5_d320,777,val,2.838927781522933,0.14827528470308432
39,[20|20|20|20|20],effn_w5_d320,777,test,2.8285215594949276,0.14822065593023834
39,[20|20|20|20|20],effn_w5_d320,777,train,2.721809127419111,0.14505671998816005
34,[5|5|5|5|5],effn_w5_d320,777,val,2.850988662778932,0.15347703890606249
34,[5|5|5|5|5],effn_w5_d320,777,test,2.8109107712245898,0.15297959463186117
34,[5|5|5|5|5],effn_w5_d320,777,train,2.8129437704992593,0.15270905930211665
40,[10|10|10|10|10],effn_w5_d320,777,val,2.803934180278112,0.14667911742077855
40,[10|10|10|10|10],effn_w5_d320,777,test,2.788517260243339,0.14595416394097077
40,[10|10|10|10|10],effn_w5_d320,777,train,2.7991249028708522,0.1470114818394438
35,[80|80|80|80|80],effn_w5_d320,777,val,2.6094391916821142,0.1462765102277
35,[80|80|80|80|80],effn_w5_d320,777,test,2.6164389262118566,0.14583276803746184
35,[80|80|80|80|80],effn_w5_d320,777,train,1.6905595836108922,0.11730741519122231
37,[10|10|10|10|10],effn_w5_d320,777,val,2.786695377196029,0.14886018292845835
37,[10|10|10|10|10],effn_w5_d320,777,test,2.88148283211204,0.15151761525292345
37,[10|10|10|10|10],effn_w5_d320,777,train,2.8070313923082186,0.1495197755090944
37,[5|5|5|5|5],effn_w5_d320,777,val,2.786126105974548,0.14883269565266438
37,[5|5|5|5|5],effn_w5_d320,777,test,2.8819378767323593,0.1515477941293787
37,[5|5|5|5|5],effn_w5_d320,777,train,2.8090687784669024,0.14957410087807727
39,[80|80|80|80|80],effn_w5_d320,777,val,2.863228449077821,0.14925167644806045
39,[80|80|80|80|80],effn_w5_d320,777,test,2.8740082286528668,0.1498570271178236
39,[80|80|80|80|80],effn_w5_d320,777,train,2.128851230785374,0.12845173727624343
38,[10|10|10|10|10],effn_w5_d320,777,val,2.8181114269547005,0.14917386789003045
38,[10|10|10|10|10],effn_w5_d320,777,test,2.830750663071576,0.14875007436325874
38,[10|10|10|10|10],effn_w5_d320,777,train,2.806666262642474,0.1486932873170016
37,[320|320|320|320|320],effn_w5_d320,777,val,2.055273559162458,0.12261335415310035
37,[320|320|320|320|320],effn_w5_d320,777,test,2.033833324452977,0.12240443951331702
37,[320|320|320|320|320],effn_w5_d320,777,train,0.24242437418526097,0.04491256454731252
33,[10|10|10|10|10],effn_w5_d320,777,val,2.8115948188341324,0.15272468747251486
33,[10|10|10|10|10],effn_w5_d320,777,test,2.7791195001912885,0.15282577408909132
33,[10|10|10|10|10],effn_w5_d320,777,train,2.8190680669433212,0.1538181133760718
39,[320|320|320|320|320],effn_w5_d320,777,val,2.197872808135985,0.12586688040875296
39,[320|320|320|320|320],effn_w5_d320,777,test,2.21289139937634,0.1261121070758878
39,[320|320|320|320|320],effn_w5_d320,777,train,0.19823029778798462,0.040338663663938165
40,[320|320|320|320|320],effn_w5_d320,777,val,2.2013314276030096,0.126757429524898
40,[320|320|320|320|320],effn_w5_d320,777,test,2.1648292746165514,0.1251871555851432
40,[320|320|320|320|320],effn_w5_d320,777,train,0.20974624556006538,0.04126325668578922
36,[80|80|80|80|80],effn_w5_d320,777,val,2.727197181252006,0.14797103221321337
36,[80|80|80|80|80],effn_w5_d320,777,test,2.7424076164648996,0.148917141244007
36,[80|80|80|80|80],effn_w5_d320,777,train,1.9045548748963828,0.12374200143152869
40,[20|20|20|20|20],effn_w5_d320,777,val,2.822926096943367,0.14666875600742177
40,[20|20|20|20|20],effn_w5_d320,777,test,2.8128908952749656,0.146417687420367
40,[20|20|20|20|20],effn_w5_d320,777,train,2.708387919628233,0.14412391635163999
