dataset_params.dim,model.hidden_dims,model,seed,set,MSE,MAPE
2,[40|40|40|40],effn_w5_d320,777,train,0.02950991612871586,0.03434273960111497
6,[80|80|80],effn_w5_d320,777,val,0.48123705798704125,0.095814206891196
6,[80|80|80],effn_w5_d320,777,test,0.5213127353261215,0.099149387041314
6,[80|80|80],effn_w5_d320,777,train,0.4048105159672383,0.08898338715404976
5,[40|40|40|40|40],effn_w5_d320,777,val,0.43984904696831284,0.09648046197389643
5,[40|40|40|40|40],effn_w5_d320,777,test,0.4405840316303713,0.09637407493191906
5,[40|40|40|40|40],effn_w5_d320,777,train,0.3727368804604432,0.08983100705110679
13,[40|40|40|40],effn_w5_d320,777,val,1.2084139381135328,0.12280561560608635
13,[40|40|40|40],effn_w5_d320,777,test,1.208747250129459,0.12316223600376931
13,[40|40|40|40],effn_w5_d320,777,train,0.9160297456525954,0.10794377371229512
11,[80|80|80|80|80],effn_w5_d320,777,val,0.821164307184443,0.10345167255730699
11,[80|80|80|80|80],effn_w5_d320,777,test,0.8310070031202013,0.10460537704044261
11,[80|80|80|80|80],effn_w5_d320,777,train,0.4894350400611114,0.08313523659796183
11,[40|40|40],effn_w5_d320,777,val,1.1443000880925511,0.12663652143444792
11,[40|40|40],effn_w5_d320,777,test,1.1090812187740848,0.12535797193379514
11,[40|40|40],effn_w5_d320,777,train,0.9075546046166434,0.11321826442019825
5,[80|80|80|80],effn_w5_d320,777,val,0.29298783953855745,0.07324606490216129
5,[80|80|80|80],effn_w5_d320,777,test,0.29956329544551324,0.0738418176623691
5,[80|80|80|80],effn_w5_d320,777,train,0.2337475799813181,0.06734004369201613
13,[80|80|80|80],effn_w5_d320,777,val,0.9704454757327209,0.10749966321842006
13,[80|80|80|80],effn_w5_d320,777,test,0.9624545325194551,0.10714414843646909
13,[80|80|80|80],effn_w5_d320,777,train,0.5632080898848306,0.08501051587661031
6,[80|80|80|80],effn_w5_d320,777,val,0.43799270583636934,0.08985907165483925
6,[80|80|80|80],effn_w5_d320,777,test,0.4889116235037442,0.0941432801454202
6,[80|80|80|80],effn_w5_d320,777,train,0.35833384815860786,0.08197342277347011
3,[80|80|80],effn_w5_d320,777,val,0.11154903179038501,0.05114723428173506
3,[80|80|80],effn_w5_d320,777,test,0.10928058815863996,0.0508359664859941
3,[80|80|80],effn_w5_d320,777,train,0.09799998741850072,0.04956582996012345
9,[40|40|40|40|40],effn_w5_d320,777,val,0.7633188855008524,0.10663715642287291
9,[40|40|40|40|40],effn_w5_d320,777,test,0.7421046003820511,0.10546229861091211
9,[40|40|40|40|40],effn_w5_d320,777,train,0.6057597288162913,0.09686774117409884
6,[40|40|40|40|40],effn_w5_d320,777,val,0.4997159362456077,0.09759094920646351
6,[40|40|40|40|40],effn_w5_d320,777,test,0.5387885774609054,0.10045074733245694
6,[40|40|40|40|40],effn_w5_d320,777,train,0.4385649457805598,0.0925488399251702
10,[80|80|80],effn_w5_d320,777,val,0.8303174894628046,0.10868416249729909
10,[80|80|80],effn_w5_d320,777,test,0.8105983220487091,0.10716363487525614
10,[80|80|80],effn_w5_d320,777,train,0.5810643539167061,0.09265077274797832
9,[40|40|40|40],effn_w5_d320,777,val,0.7831784581766656,0.10858446496854142
9,[40|40|40|40],effn_w5_d320,777,test,0.7763690286943773,0.10808621209182591
9,[40|40|40|40],effn_w5_d320,777,train,0.6270050478969703,0.0988672253636723
8,[80|80|80],effn_w5_d320,777,val,0.6654675947561165,0.10257088722947606
8,[80|80|80],effn_w5_d320,777,test,0.6871817301028826,0.10357306715201693
8,[80|80|80],effn_w5_d320,777,train,0.49076343857600535,0.08957680214197318
11,[80|80|80|80],effn_w5_d320,777,val,0.8150591305584751,0.1030881172779623
11,[80|80|80|80],effn_w5_d320,777,test,0.8078528410116843,0.10286153138499032
11,[80|80|80|80],effn_w5_d320,777,train,0.4861104819037271,0.08220127803390843
3,[40|40|40|40|40],effn_w5_d320,777,val,0.1676140030179661,0.06059480391661508
3,[40|40|40|40|40],effn_w5_d320,777,test,0.16163896169387673,0.060908315595804105
3,[40|40|40|40|40],effn_w5_d320,777,train,0.14057183067409057,0.05742902357033287
5,[40|40|40|40],effn_w5_d320,777,val,0.45427016963073863,0.09893716213970308
5,[40|40|40|40],effn_w5_d320,777,test,0.4488985991826182,0.09821330025057871
5,[40|40|40|40],effn_w5_d320,777,train,0.3870989964919126,0.09255497483170914
8,[80|80|80|80|80],effn_w5_d320,777,val,0.6017541514816162,0.09549431068774793
8,[80|80|80|80|80],effn_w5_d320,777,test,0.6140878888867857,0.09620069529509949
8,[80|80|80|80|80],effn_w5_d320,777,train,0.3889665300902822,0.07959097855682228
11,[80|80|80],effn_w5_d320,777,val,0.9042419917197992,0.11005868991153375
11,[80|80|80],effn_w5_d320,777,test,0.8989898722286253,0.11045552057363109
11,[80|80|80],effn_w5_d320,777,train,0.613907539723562,0.09155379962081218
3,[80|80|80|80],effn_w5_d320,777,val,0.09328313059538423,0.044885000005032615
3,[80|80|80|80],effn_w5_d320,777,test,0.0904542843522287,0.04490688731382541
3,[80|80|80|80],effn_w5_d320,777,train,0.07642693111692747,0.042430355677679374
12,[40|40|40],effn_w5_d320,777,val,1.2126033816624713,0.12786891946327125
12,[40|40|40],effn_w5_d320,777,test,1.2006372748660243,0.12681170254189042
12,[40|40|40],effn_w5_d320,777,train,0.9764116841300661,0.11402884645936745
9,[80|80|80|80|80],effn_w5_d320,777,val,0.6902848754211013,0.10044343973882176
9,[80|80|80|80|80],effn_w5_d320,777,test,0.6819901694894541,0.09983906745138035
9,[80|80|80|80|80],effn_w5_d320,777,train,0.43224198689633836,0.08280777734474291
6,[80|80|80|80|80],effn_w5_d320,777,val,0.4402607516173817,0.09020826542554314
6,[80|80|80|80|80],effn_w5_d320,777,test,0.4829162057150828,0.0939245247022294
6,[80|80|80|80|80],effn_w5_d320,777,train,0.34052196295327203,0.08095993237593706
12,[80|80|80|80|80],effn_w5_d320,777,val,0.8938292501784941,0.10432802790681121
12,[80|80|80|80|80],effn_w5_d320,777,test,0.8889414654186876,0.1036997732557965
12,[80|80|80|80|80],effn_w5_d320,777,train,0.4906988083956949,0.08059512883323143
6,[40|40|40|40],effn_w5_d320,777,val,0.4944708622304281,0.09897653980874223
6,[40|40|40|40],effn_w5_d320,777,test,0.5504418412846317,0.10290398107180658
6,[40|40|40|40],effn_w5_d320,777,train,0.44152008049377184,0.09386896717539443
11,[40|40|40|40|40],effn_w5_d320,777,val,1.0074940668841648,0.11654340819733955
11,[40|40|40|40|40],effn_w5_d320,777,test,0.9852313742606955,0.11594210447917039
11,[40|40|40|40|40],effn_w5_d320,777,train,0.7589674663398692,0.10280182724021077
13,[80|80|80|80|80],effn_w5_d320,777,val,0.964386833214543,0.10754805980041565
13,[80|80|80|80|80],effn_w5_d320,777,test,0.9596372461529518,0.10672924302964475
13,[80|80|80|80|80],effn_w5_d320,777,train,0.5230354025356388,0.08231368324837224
8,[40|40|40|40],effn_w5_d320,777,val,0.6810111998450072,0.10534854803988485
8,[40|40|40|40],effn_w5_d320,777,test,0.7072631249348389,0.106687559246778
8,[40|40|40|40],effn_w5_d320,777,train,0.5455156275469756,0.09598236264385002
10,[80|80|80|80|80],effn_w5_d320,777,val,0.7512294964668402,0.10077054392009445
10,[80|80|80|80|80],effn_w5_d320,777,test,0.7407182409872698,0.1006333181314317
10,[80|80|80|80|80],effn_w5_d320,777,train,0.4476645082015591,0.08096654392265666
2,[80|80|80|80|80],effn_w5_d320,777,val,0.014086072668157635,0.020732970648891656
2,[80|80|80|80|80],effn_w5_d320,777,test,0.015856889362915894,0.02017493412755273
2,[80|80|80|80|80],effn_w5_d320,777,train,0.011856866536971482,0.020108914703128273
8,[80|80|80|80],effn_w5_d320,777,val,0.5996159271933027,0.09734702213434154
8,[80|80|80|80],effn_w5_d320,777,test,0.6117339434212945,0.09781062777128481
8,[80|80|80|80],effn_w5_d320,777,train,0.40757196176187194,0.08225330010965795
12,[80|80|80|80],effn_w5_d320,777,val,0.8666846839376887,0.10424699677752962
12,[80|80|80|80],effn_w5_d320,777,test,0.8721901900014948,0.10396260882975991
12,[80|80|80|80],effn_w5_d320,777,train,0.525736133140834,0.08369577039628054
12,[40|40|40|40],effn_w5_d320,777,val,1.0994994802011042,0.1193619648521872
12,[40|40|40|40],effn_w5_d320,777,test,1.0555449394873495,0.11623727442098657
12,[40|40|40|40],effn_w5_d320,777,train,0.8382853815191947,0.10452562336295423
2,[40|40|40|40|40],effn_w5_d320,777,val,0.03298013379077298,0.03402943164443335
2,[40|40|40|40|40],effn_w5_d320,777,test,0.03521972325404562,0.03362747125885714
2,[40|40|40|40|40],effn_w5_d320,777,train,0.028665675243013854,0.03296817350515535
3,[40|40|40|40],effn_w5_d320,777,val,0.14909458186967678,0.06031926249730333
3,[40|40|40|40],effn_w5_d320,777,test,0.14573971140933858,0.06007756866313411
3,[40|40|40|40],effn_w5_d320,777,train,0.12993146168681569,0.057541412730475625
7,[80|80|80|80|80],effn_w5_d320,777,val,0.5359556720767833,0.09533331029857565
7,[80|80|80|80|80],effn_w5_d320,777,test,0.5391489141640321,0.09576662530377471
7,[80|80|80|80|80],effn_w5_d320,777,train,0.36735789004862696,0.08201297308018134
